,,,,,,
,5052,KMX AGRICULTURE,1,1,,
,5107,PICK OF THE SOUTH,1,1,,
,5129,G & H HARVESTING INC,1,1,,
,5174,PEARSON FARM,1,2,,
,5181,DUPONT NURSERY INC,1,1,,
,5201,DUPREE FARMS LLC,1,1,,
,5223,J AND J APRIARIES LLC,1,1,,
,5225,4 WAY FARMS,,,,1
,5228,TLP BROTHERS HARVESTING LLC,2,2,,
,5317,HILL SEED & ELEVATOR INC,1,1,,
,5348,(blank),2,2,,
,5390,JEREMY CALVERT,1,1,,
,5401,NUNEZ PINE STRAW INC,1,1,,
,5466,WINDMILL NURSERY OF LOUISIANA LLC,,1,,
,5470,FAITH NURSERY LLC DBA COUNTRY PINE,1,1,,
,5478,EUBANKS PRODUCE INC,1,1,,
,5533,THE FARMERS SOLUTION LLC,,1,,
,5637,(blank),1,1,,
,5715,JAMES E LIPSCOMB & SONS INC DBA RI,1,1,,
,5792,BEAVER FARMS,1,1,,
,5850,(blank),1,1,,
,5860,VPC PRODUCE LLC,1,1,,
,5907,JOEDD POYNER FARMS,1,1,,
,5991,SALGADO HARVESTING LLC,3,2,,
,6014,MARJE FARMS AND EIFLING FARMS GEN,1,1,,
,6068,MARGIRIC FARM LLC,1,,,1
,6084,(blank),1,1,,
,6091,BCRS INVESTMENT LLC,1,,,1
,,BCRS INVESTMENTS LLC,2,2,,
,6149,GREBEL PECAN SVCS INC,1,1,,
,6186,ROJAS AND SIMON HARVESTING LLC,1,1,,
,6210,K & T FARMS INC,1,1,,
,6217,GILBERTO VENTURA,1,1,,
,6259,(blank),1,1,,
,6281,CARPENTER PRODUCE,1,1,,
,6357,JACK B JACKSON & SONS PARTNERSHIP,1,1,,
,6362,HALEY BELLE FARMS INC,1,1,,
,6363,BALD EAGLE FARMS,1,1,,
,6421,PROMISE LAND HARVESTING LLC,2,2,,
,6425,MARIA T QUINTINO DE PEREZ,1,1,,
,6488,B Y FARM GRP YODER FARMS PARTNERSH,1,1,,
,6494,LUCAS GREENHOUSES,1,1,,
,6497,DEJ FARMS LLC,1,1,,
,6541,BAYOU BARRE FARMS LLC,1,1,,
,6575,WHITE GATE FARM LLC,1,1,,
,6649,CKT PRODUCE LLC,1,,,1
,6651,OXBOW FARMS INC & PALSA FARMS JOIN,1,1,,
,6723,BG WILLIAMS FARMS LLC,3,2,,1
,6725,BOREL FARMS LLC,1,1,,
,6801,TRIPLE M FARMS OF ASHLEY COUNTY LL,1,1,,
,6829,TOWNSEND BROTHERS FARMS INC,1,1,,
,6881,SERAFICO JAIMES,2,2,,
,6887,G&R TURNER FARMS LLC,1,1,,
,6896,CAM TOO CAMELLIA NURSERY INC,1,1,,
,6925,PEMBLE FARMS PARTNERSHIP II,1,1,,
,6960,(blank),1,1,,
,7035,BECK S TURF INC,1,1,,
,7044,SEGA BLUEBERRY LLC,1,1,,
,7091,O REA & SONS HARVESTING & HAULING,1,1,,
,7181,ORNELAS HARVESTING INC,1,1,,
,,"ORNELAS HARVESTING, INC.",1,1,,
,7230,SANDYVIEW FARM,1,,,1
,7260,TERRY & JOE BAKER FARMS LLC,1,1,,
,7287,MARTIN L GARCIA,1,1,,
,,(blank),1,1,,
,7372,C & D AGRICULTURE LLC,3,3,,
,7384,AAA FARIA LLC,1,,,1
,7404,LIUZZA PRODUCE FARM INC,1,1,,
,7429,SWEETWATER CREEK HONEY FARM LLC,2,1,1,
,7480,PAUL PACE FARMS AND L & D PRODUCE,1,1,,
,7638,ELGIDIO JACOBO GONZALEZ,1,1,,
,7702,S & L FINCH FARMS,1,1,,
,7832,HAMILTON GROWERS INC,4,3,,1
,7924,GLADES PLANTING LLC,1,1,,
,8017,NORTON CREEK FARMS INC,2,2,,
,8018,(blank),1,1,,
,8020,JUBILEE PACKING INC,1,1,,
,8045,ALFREDO VEGA,1,1,,
,8246,GREGG DAY FARMS,1,1,,
,8288,MIKE MONCRIEF LLC,,,,1
,8304,GUILLOT FARMS INC,1,1,,
,8457,CASSADAY FARMS LLC,1,1,,
,8493,BEAUD FARMS,1,1,,
,8579,MCCORKLE NURSERIES INC,1,1,,
,8617,DOMINGUEZ FARMS,,1,,
,8662,(blank),2,1,,1
,8668,GRAHAM FARMS CROP & CATTLE LLC,2,2,,
,8733,CHASE GASAWAY FARMS,1,1,,
,8736,J S EDWARDS FARMS LLC,1,1,,
,8744,MORTON AG PARTNERSHIP,1,1,,
,8750,BEIZA BROTHERS HARVESTING LLC,2,2,,
,,(blank),,1,,
,8793,AGUILAR HARVESTING LLC,,,,1
,8823,ZRH FARMS LLC,1,1,,
,8873,SPRING HILL PRODUCE LLC,,1,,
,9008,C & D FARMS,1,1,,
,9054,TOPASHAW FARMS PARTNERSHIP,1,1,,
,9068,GREENFOREST NURSERY INC,,1,,
,9163,BIG D FARMS OF LULING LLC,1,1,,
,9185,WISE VEGETATION MGMT LLC,1,1,,
,9192,CASTRO HARVESTING,,,,2
,,CASTRO HARVESTING LLC,,,,1
,9240,DRY BRANCH INC,2,2,,
,9248,HACKBERRY FARMS PARTNERSHIP,1,1,,
,9254,NOBLE FARMS,1,1,,
,9290,MILES BROS FARMS AND ABCO FARM PAR,1,1,,
,9345,SHILOH BERRY FARMS INC,1,1,,
,9461,CRAMER S INC,1,1,,
,9525,R A LEASING LLC,2,2,,
,9543,RODRIGUEZ HARVESTING LLC,3,3,,
,9557,CHAPPELL MILL TREES LLLC,1,1,,
,9619,CADRON CREST ORCHARD,1,1,,
,9671,JHC FARMS,,1,,
,9711,BONNIE PLANTS INC,17,18,,
,9798,(blank),1,1,,
,9849,LIVE OAK GARDENS LTD,1,1,,
,9872,BUENAVISTA LAND SVCS LLC,,1,,
,9938,PINA FARMS LLC,1,1,,
,9948,TREJO BROS PRODUCE LLC,2,2,,
,9966,BLAND FARMS PRODUCTION AND PACKING,3,3,,
,9979,FRANCISCO GUTIERREZ,2,1,,1
Georgia Total,,,302,288,1,35
Hawaii,610,HAWAII ISLAND HONEY CO LLC,,1,,
,3864,CLOUD FOREST COFFEE LLC,1,1,,
,5554,BAYOU TORTUE APIARIES LLC,,1,,
,9337,WAIKELE FARMS INC,1,1,,
Hawaii Total,,,2,4,,
Idaho,,ZITO FARMS LLC & KEN PATTERSON FAR,1,1,,
,6,RUFFATTO LAND & CATTLE CO,1,1,,
,13,WILL ROWE FARM,1,1,,
,41,(blank),1,1,,
,64,FAIRCHILD SHEARING LLC,,2,,
,73,"WAHOO RANCH, LLC",1,1,,
,79,SPUR CROSS RANCH LLC,1,1,,
,111,GRANDVIEW RANCH,1,1,,
,137,CENARRUSA FARMS INC,1,1,,
,156,TUMA FARMS INC,1,1,,
,162,(blank),1,1,,
,217,REISINGER APIARIES INC,1,1,,
,227,REX BAUM FARMS INC,1,1,,
,237,SHOESOLE FARMS INC,1,1,,
,265,MYTTY ANGUS RANCH LLC,1,1,,
,276,CHAD HOLDAWAY FARMS INC,1,1,,
,313,HARDING NURSERY INC,1,1,,
,351,ROCK CREEK CANYON RANCH INC,1,1,,
,378,LEAVITT BROTHERS FARMS LLC,,1,,
,395,BIG SKY SEED LLC,1,1,,
,410,GEM VALLEY FARMS INC,1,1,,
,420,BLAINE LARSEN FARMS INC,9,9,,
,,"BLAINE LARSEN FARMS, INC.",1,1,,
,429,SHORELINE FARMS LC,1,1,,
,444,STEVENSON & SONS LLC,1,1,,
,454,CHALLIS CREEK CATTLE CO LLC,2,2,,
,456,RODNEY HANSEN FARMS INC,1,1,,
,482,EAGLE VALLEY RANCH LLC,1,1,,
,498,D & K FARMS LLC,1,1,,
,501,LOUIS SCATENA RANCH,1,1,,
,505,BEARD FARMS,1,1,,
,547,HW BURNS FAMILY LLC DBA BURNS RANC,1,1,,
,556,TUCKER CROSSING RANCH,1,1,,
,560,GOLDEN RIDGE FARMS,1,1,,
,595,MADISON VALLEY GARDEN RANCH LLC,1,1,,
,625,BKS FARMS LLC,1,1,,
,636,ASTLE FARMS LLC,1,1,,
,650,OAK VALLEY DAIRY LLC,1,1,,
,663,(blank),1,1,,
,713,D C FARMS,1,1,,
,720,GRANT NEIBAUR & SONS FARMS,1,1,,
,726,MARK E KUEHL DBA KUEHL FARMS,1,1,,
,733,VAN DEUSEN RANCH INC,1,1,,
,734,(blank),1,1,,
,744,BEAVER MACHINE & CATTLE CO,1,1,,
,756,TIMM ADAMS FARMS INC,2,2,,
,767,COWAN & SON A MONTANA CORP,1,1,,
,809,RICHARD DICK LUECK DBA LUECK RANCH,1,,,1
,823,JORGE TORRES (J TORRES FARMS),1,1,,
,824,HENGGELER PACKING,1,1,,
,839,RAFTER RANCH INC,1,1,,
,847,ALEXANDRE DAIRY,1,1,,
,866,GRANT III FARMS INC,1,1,,
,871,BLICK BROTHERS FARMS INC,1,1,,
,878,DALE EVANS DAIRY INC,1,1,,
,891,THIEL PIONEER FARMS INC,1,,,1
,901,BIDLAKE RANCH,1,,,1
,925,SMALL RANCHES,1,1,,
,938,FOWERS INC,1,1,,
,959,VALLIVUE FARMS INC,1,1,,
,965,ASTORQUIA & ASTORQUIA LP DBA ASTOR,1,1,,
,972,J & S RANCH,1,1,,
,1018,DAVENPORT FARMS INC,1,1,,
,1025,WESTSIDE GENERAL PARTNERSHIP,1,1,,
,1036,AVERY RANCH,1,1,,
,1059,KIRK M JACOBS DBA KIRK JACOB FARMS,1,1,,
,,KIRK M JACOBS DBA KIRK JACOBS FARM,2,1,,1
,1105,TASH T DIAMOND LIVESTOCK INC,1,1,,
,1128,KARL JOSLIN DBA JOSLIN FARMS,2,2,,
,1133,RANDY GILLETTE FARMS INC,1,1,,
,1136,MARSH FAMILY RANCH PARTNERSHIP,2,2,,
,1141,JUSTIN PRICE FARMS LLC,1,1,,
,1144,WATTENBARGER FARMS,1,1,,
,1145,ARCADIA AG LLC,1,1,,
,1167,(blank),1,1,,
,1177,(blank),1,1,,
,1188,ERIC ORR DBA JECKO FUTURES / FARM,1,1,,
,1197,SITZ ANGUS RANCH AND LIVESTOCK OPE,1,1,,
,1231,JIM DIXON FARMS LLC,1,1,,
,1245,KIRT HANSEN FARMS INC,1,1,,
,1247,(blank),1,1,,
,1261,HULL FARMS INC,2,2,,
,1326,RONALD ESPLIN & SONS LTD,1,1,,
,1346,OBENDORF HOP INC,1,1,,
,1351,EDWARD POTUCK DBA LAZY SNAKE RANCH,1,1,,
,1382,DENNIS FRANSEN FARMS INC,1,1,,
,1387,(blank),1,1,,
,1389,T VILLE AG,1,1,,
,1424,SIEBEN LIVE STOCK CO,2,2,,
,1430,STANDLEE AG RESOURCES,1,1,,
,1458,EVAN & LUCAS WOOD LAND & CATTLE LL,1,1,,
,1537,BAUMAN RANCH STEVE BAUMAN,1,1,,
,1543,MARK L DARRINGTON MARK DARRINGTON,1,1,,
,1553,PLUS Z LLC,1,1,,
,1560,BEUTLER FARMS LLC,1,1,,
,1574,AG RESERVES INC DBA WINNECOOK RANC,1,1,,
,1576,MATHEWS BROTHERS LLC,1,1,,
,1597,LENZ FARMING LLC,1,1,,
,1618,BELL CROSS RANCH LLC,2,2,,
,1646,P & J RANCHES INC,1,1,,
,1677,ROBISON FARMS INC,1,1,,
,1703,(blank),1,1,,
,1704,(blank),1,1,,
,1713,DAVID PATRICK FARMING LLC,1,1,,
,1716,VISTA VALLEY AG INC,1,1,,
,1769,ADELSHEIM VINEYARD LLC,1,1,,
,1812,MILE HIGH SOD FARM INC,1,1,,
,1814,(blank),1,1,,
,1817,(blank),1,1,,
,1819,SEVEN UP BAR RANCH INC,1,1,,
,1849,RDL FARMS LLC,1,1,,
,1871,C S C FARMS,1,1,,
,1877,CHENEY FARMS INC,2,2,,
,1889,DAYTON VALLEY TURF INC,1,1,,
,1890,APPLE CREEK PROPAGATORS INC,1,1,,
,1908,HANSEN FARMS OF IDAHO LLC,1,1,,
,1916,KEITH WILCOX & SONS INC,1,1,,
,1973,TITMUS FAMILY FARMS LLC,1,1,,
,1977,WESTERN RANGE ASSN,111,114,,3
,,WESTERN RANGE ASSO,1,1,,
,,WESTERN RANGE ASSOCIATION,23,26,,1
,1991,M PARKINSON & CO INC,1,1,,
,2010,WINDY ACRES INC,1,1,,
,2029,TEWS LAND & LIVESTOCK INC,1,1,,
,2039,CH PETERSON OPERATIONS LLC,1,1,,
,2058,DARRELL R LEE DBA NEVER SWEAT RANC,1,1,,
,2065,R BAR N RANCH LLC,1,1,,
,2079,BITTERSWEET FARMS LLC,1,1,,
,2124,KEARSLEY TREES INC,1,1,,
,2125,FOLSOM CATTLE MGMT SVCS LLC,1,1,,
,2130,FAIRFIELD RANCHES INC,1,1,,
,2133,BT CHRISTENSEN FARMS LLC,1,1,,
,2159,LC MCINTYRE FARMS LLC,1,1,,
,2191,HALF MOON LLC DBA HALF MOON RANCH,1,1,,
,2235,HUEY FARMS INC,1,1,,
,2248,ROOST POTATO CO INC,1,1,,
,2265,BROCK AND PHILLIP OBENDORF FARMS L,1,1,,
,2306,WAGNER FARM,1,1,,
,2351,G & L RANCHES,1,1,,
,2360,DONLEY FARMS INC,1,1,,
,2397,BUYAN RANCH INC,1,1,,
,2400,(blank),1,1,,
,2406,PICABO LIVESTOCK CO,1,1,,
,2461,DIAMOND I INC,1,1,,
,2468,N & L JOHNSON FARMS LLC,1,1,,
,2470,WOLFE BROTHERS INC,2,2,,
,2492,NEVADA ONION INC,1,1,,
,2495,BITTERROOT SPRINGS RANCH,1,1,,
,2504,FARM DEVELOPMENT CORP,1,1,,
,2511,DEAN SNARR & SON LLC,1,1,,
,2630,VALLEY PACIFIC FARMS LLC,1,1,,
,2671,GODFREY BROTHERS FARMS INC,1,1,,
,2689,BOSEN LAND & LIVESTOCK LLC,1,1,,
,2696,DAVID D KEITH DBA RAFTER LAZY C FA,1,1,,
,2702,BAUSCH POTATO INC,1,1,,
,2704,(blank),1,1,,
,2712,BIRCH FARMS INC,1,1,,
,2715,MCCOY CATTLE LLC,1,2,,
,2726,SYMMS FRUIT RANCH INC,1,1,,
,2727,SUMMIT VALLEY TURF FARMS LLC,1,1,,
,2736,CL HANSEN FARMS INC,1,1,,
,2771,TRAVIS WEEKS FARMS INC,1,1,,
,2775,BARTON JAY WEBSTER DBA WEBSTER FAR,1,1,,
,2828,WAY A FARMS INC,1,1,,
,2881,SOUTHSIDE FARMING LLC,1,1,,
,2883,REYNOLDS FARMS INC,1,1,,
,2894,WINDING RIVER FARMS,1,1,,
,2898,4 ACE FARMS LLC,1,1,,
,2903,MULDOON RANCH CO LLC,1,1,,
,2904,VINCE FEHRINGER FARMS,1,1,,
,2939,BRANDON RUN GP,1,1,,
,2988,BRIESE BROTHERS HAVRE,1,1,,
,3003,DOUBLE H AG INC,1,1,,
,3041,ARTHUR R HENRY FARMS INC,1,1,,
,3056,BRENT LOTT FARMS,1,1,,
,3064,D & B AG INC,1,1,,
,3067,BUHMANN APIARIES INC,1,1,,
,3076,LINSE RANCH LLC,1,1,,
,3177,PAGE WHITHAM LAND & CATTLE LLP MAT,1,1,,
,3196,HOLYOAK GREEN CHOP LLC DBA HOLYOAK,1,1,,
,3197,WESTERN RANGE ASSN,1,1,,
,3219,FELLOWSHIP FARMS INC,1,1,,
,3227,MARSH LAND & LIVESTOCK INC,,,,1
,3229,(blank),1,1,,
,3258,SCHAEFFER FARMS GP,1,1,,
,3263,PARK LIVESTOCK CO,2,2,,
,3283,US 2 FARMS,1,1,,
,3312,CIRCLE P FARMS LLC,1,1,,
,,MCCALL FARMS INC,1,1,,
,3345,CENTENNIAL LIVESTOCK INC,1,1,,
,3357,DORN FARMS INC,1,1,,
,3426,JACKSON HOP LLC,1,1,,
,3459,MILLER CATTLE CO,2,2,,
,3487,MIX MILLER FARMS LLC,1,1,,
,3510,VANDERSLOOT FARMS INC DBA RIVERBEN,1,1,,
,3545,P BAR S FARMS INC,1,1,,
,3553,(blank),1,1,,
,3668,JOSEPH M OLER DBA OLER FARMS,1,1,,
,3671,SEARLE AG LLC,3,3,,
,3698,HIGH ALPINE LLC,1,1,,
,3703,VAN BEEK DAIRY,1,1,,
,3714,BEAVERHEAD RANCH LLC,1,2,,
,3722,(blank),1,1,,
,3735,EME CUSTOM FARMING LLC DBA AREA CU,1,1,,
,,(blank),1,1,,
,3773,SCOTT BENNETT FARMS,1,1,,
,,WET & WILD LLC,1,,,1
,3786,ALAN BROWN,1,,,2
,,SIERRA DEL RIO RANCH LLC,1,1,,
,3807,R LAYNE HARRIS FARMS,1,1,,
,3833,GEORGE STOLTZ STOLTZ LAND & CATTLE,1,1,,
,3840,BRADLEY LIVESTOCK LC,1,1,,
,3863,WALES BROS CORP DBA MEYER CO RANCH,1,1,,
,3867,ENSZ FARMS PARTNERSHIP,1,1,,
,3876,LOVELL & COOK PARTNERSHIP DBA LOVE,1,1,,
,3880,CARSON FARMS LLC,1,1,,
,3902,SOBOTKA FARMS LLC,1,,,1
,3933,CY RANCHS LLC,1,1,,
,3942,ROUNDS FARMS,1,1,,
,3945,DOUBLE G LLC,1,1,,
,3973,(blank),1,1,,
,3981,(blank),1,1,,
,3995,VAL F & LORI WAHLEN VAL WAHLEN FAR,1,1,,
,4021,JENTZSCH KEARL FARMS,2,2,,
,4033,ERNIE S ORGANICS LLC,1,1,,
,4037,GRIZZLY CRK RANCH DBA GRIZZLY CRK,1,1,,
,4051,(blank),1,1,,
,4067,4 B S FARMS INC,1,1,,
,4076,ZWEIFEL FARMS INC,1,1,,
,4095,STEVEN LONGHURST FARMS,1,1,,
,4122,HORSE CREEK HAY & CATTLE LLC,1,1,,
,4123,STEPHEN BOREN DBA ARROW B RANCHES,1,1,,
,4129,TREE TOP RANCHES LLC,1,1,,
,4144,SMH CATTLE CO LLC,2,2,,
,4174,LANCE & LISA FUNK PARTNERSHIP,1,1,,
,,LANCE AND LISA FUNK PARTNERSHIP,1,,,1
,4175,MONTY & CAROLENE FUNK DBA COUNTY L,1,1,,
,4180,GEHRING AGRI BUSINESS,1,1,,
,4216,BLINCOE FARMS INC,1,1,,
,4219,EUGENE TABER TABER RANCH LLC,1,1,,
,4305,LAZY AS FARMS,1,1,,
,4306,DOUBLE EAGLE FARMS LLC,1,1,,
,,SEARLE LAND AND CATTLE LLC,1,1,,
,4318,DOUBLE J LIVESTOCK LLC,,1,,
,4319,VALLEY VIEW OF MAGIC VALLEY,1,1,,
,4357,PARK RIVER SPLIT RANCH LLC,1,1,,
,4387,JEFFREY HAWLEY DBA HAWLEY LAND & L,1,1,,
,4391,UFFELMAN FARMS INC,1,1,,
,4435,SHAWVER FARMS INC,1,1,,
,4481,AARON BALL FARMS INC,1,1,,
,4516,GILES & MEYERS FARMS LLC,1,1,,
,4527,POTEET FARMS INC,1,1,,
,4566,OLA INC DBA FLYING V BAR RANCH,1,1,,
,4593,CRU CATTLE INC,1,1,,
,4607,ROBERT J MEYERS FARMS INC,1,1,,
,,"ROBERT J. MEYERS FARMS, INC.",1,1,,
,4648,(blank),1,1,,
,4662,(blank),1,1,,
,4676,K & C WAHLEN LIVING TRUST DBA KIM,2,2,,
,4684,(blank),2,2,,
,4706,WHISKEY CREEK RANCH LLC,1,1,,
,4731,TELLEZ FARM LLC,1,1,,
,4738,TETON MOTORS INC DBA TETON TOYOTA,1,1,,
,4751,PARKINSON FDN SEED FARM INC,1,1,,
,4789,LAST HURRAH RANCH INC,1,1,,
,4830,GRANT FARMS,1,1,,
,4840,SPENCER BRIAN LOTT DBA BRIAN LOTT,1,1,,
,4870,WINECUP GAMBLE INC,1,1,,
,4888,WOODEN SHOE FARMS,1,1,,
,4961,HULTS FARMS,1,1,,
,4970,RON LOVELL VALLEY FARM LLC,1,1,,
,4991,SCHUETT FARMS,2,2,,
,5052,(blank),1,1,,
,5057,SWAGER FARMS LLLP,1,1,,
,5083,(blank),1,,,1
,5102,THIEL BROTHERS LLC,1,1,,
,5167,BAR C INC,3,3,,
,5169,THE TURF CO OF NV INC DBA HIGH DES,2,2,,
,,THE TURF COMPANY OF NV INC DBA HIG,1,1,,
,5188,STEELE FARMS INC,1,1,,
,5211,(blank),1,1,,
,5234,SRI RANCH HOLDINGS DBA HAMILTON RA,1,1,,
,5237,(blank),1,1,,
,5239,RANDY UFFELMAN INC,1,1,,
,5258,KRAUS FARMS LLC,1,1,,
,5286,FREY FARMS INC,1,1,,
,,SUMMERCO MGMT INC,1,1,,
,5287,SUMMERS FARM & RANCH INC,1,1,,
,5289,GARY BERRINGTON RANCH,1,1,,
,5294,HAYDEN CREEK RANCH LLC,1,1,,
,5296,BIG WOOD FARMS LLC,1,1,,
,5303,TODD L JENKINS FARMS,1,1,,
,5310,(blank),1,1,,
,5334,ERIC KUEHNE FARMS LLC,3,3,,
,5430,BEAVERHEAD 7 UP RANCH INC,1,1,,
,5462,SIAN LAND & LIVESTOCK INC,1,1,,
,5510,WILLIAM HUBERT SHAW DBA SHAW LAND,1,1,,
,5517,COLEMAN ANGUS,1,1,,
,5536,RHETT WATSON FARMS INC,1,1,,
,5608,(blank),1,1,,
,5638,T & K FARMS,1,1,,
,5646,MAGIC IRRIGATORS INC / MAURICE H E,1,1,,
,5649,GIBBS FARMS LLC,2,2,,
,5670,RICKS HAY FARMS LLC,1,1,,
,5678,WALTERS & WALTERS A JOINT VENTURE,1,1,,
,5680,(blank),1,1,,
,5686,FLAT TOP SHEEP CO,1,1,,
,5691,COLORADO TURF INC,1,1,,
,5713,FOSTER FARMS,1,1,,
,5719,RYAN JOHNSON FARMS LLC,1,1,,
,5747,SILVER SPRING RANCH,1,1,,
,5797,J & K FARMS INC,1,1,,
,5799,TRAIL RANCHES INC,1,1,,
,5848,HUNEWILL LAND & LIVESTOCK CO INC,1,1,,
,5858,LIFELINE FARM INC,1,1,,
,5925,NICHOLAS K WESTENDORF DBA 4L FARMS,1,1,,
,5972,R PRUYN RANCH LLC,1,1,,
,5973,BIG SKY RANCH LLP,1,1,,
,5985,BOBRICK BROTHERS INC,2,1,,1
,5990,BEEM FARMS INC,1,1,,
,6026,W R BAXTER WHOLESALE NURSERY,1,1,,
,6027,GOTT FARMS LLC,1,1,,
,6036,HANSEN LIVESTOCK CO,1,1,,
,6037,RT KANDLER LLC,2,2,,
,6048,CALDWELL FARMS LLC DBA CALDWELL RA,1,1,,
,6118,ROTH FARMS GEN PARTNERSHIP,1,1,,
,6127,MARTINDALE AG CO LLC,1,1,,
,6163,CEDAR VIEW DAIRY LLC,1,1,,
,6186,WILLIAM ALLEN MARTIN DBA ALLEN & D,1,1,,
,6194,5 S FARMS INC,1,1,,
,6200,GLENN DALE RANCHES INC,1,1,,
,6216,HD DUNN & SON ANGUS RANCH LLC,1,1,,
,,HOBSON RANCH MANAGEMENT,1,1,,
,6238,CARNEY FARMS,1,1,,
,6241,(blank),1,1,,
,6246,KENNY ANDERSON INC,1,1,,
,6254,MONTANA POLLINATIONS INC,1,1,,
,6268,M & M FARMS LLC,1,1,,
,6296,CORNWELL RANCH,1,1,,
,6349,SANTANA RANCH ROBERT DIXON,1,1,,
,6369,T & B RANCH INC,1,1,,
,6390,WOLF ONE FARMS INC,2,2,,
,6397,KENDALL SEDER FARMING,1,1,,
,6398,(blank),1,1,,
,6422,SCHUTTER SEED FARM INC,1,1,,
,,TERRENCE M & PAULA SCOTT DBA TIMBE,1,1,,
,6428,(blank),1,1,,
,6438,WILCOCK LAND & LIVESTOCK LLC,2,1,,1
,6459,(blank),1,,,1
,6483,FLYING H CORP,1,1,,
,,FLYING H CORP.,1,1,,
,6550,HOLLIFIELD RANCHES INC,1,1,,
,6557,PARKS FARMS,1,1,,
,6575,(blank),1,1,,
,6586,BRANCH FARMS LLC,1,1,,
,6606,(blank),1,1,,
,6611,J R SIMPLOT / GRAND VIEW FARMS,1,1,,
,6765,ROBERT J WUESTE LLC,1,1,,
,6807,J C RANCHES INC,1,1,,
,6838,BIG VALLEY SOD FARMS INC,1,1,,
,6870,JEROME CLINGER FARMS,1,1,,
,6886,CLAYTON TREE FARM LLC,1,1,,
,6900,(blank),1,1,,
,6916,ROCKY HOLLOW INC,1,1,,
,6929,KRIS KELLEY KELLEY & SONS LLC,1,1,,
,6931,GILMAN IH CATTLE CO,1,1,,
,6949,KIRK S EGBERT RANCHES INC,1,1,,
,6973,BERGH FARMS LLC,2,2,,
,7003,TRIPLE R FARMS LLC,2,2,,
,7099,BROKSLE RANCH INC,1,1,,
,7120,(blank),1,1,,
,7151,REBISH & HELLE PARTNERSHIP,2,2,,
,7158,D & K HALE FARMS LLC,1,1,,
,7176,3 STRING CATTLE OF IDAHO LLC,1,1,,
,7242,ROLLHEISER FARMS INC,1,1,,
,7269,J & V DAIRY LLC,1,1,,
,7295,NEDENS FARMS INC,1,1,,
,7314,HOWELL FARMS INC,1,1,,
,7327,BITTERROOT NURSERY,1,1,,
,7343,FAHNESTOCK ENTERPRISES INC DBA WES,1,1,,
,7390,R & L LEZAMIZ INC,1,1,,
,7401,LEMHI FRONTIER LLC DBA BAR DOUBLE,1,1,,
,7414,(blank),1,1,,
,7420,TASH RANCH CO,1,1,,
,7426,TAYLOR & SONS FARMS INC,1,1,,
,7431,REYNOLDS BROTHERS LLP,1,1,,
,7477,WILLOW SPRINGS RANCH,1,1,,
,7499,HOPLAND LLC,1,1,,
,7529,A K MOYLE RANCH INC,1,1,,
,7530,PARK RANCH LLC,1,1,,
,7531,C C & P FARMS LLC,1,1,,
,7539,DRISCOLL BROTHERS PARTNERSHIP L L,2,2,,
,7542,RATZLAFF FARMS INC,1,,1,
,7586,FAULKNER LAND & LIVESTOCK CO,1,1,,
,7606,RL BROWN FARMS LLC,1,1,,
,7614,ROGER STUTZMAN FARMS INC,1,1,,
,7621,RUBY HABITAT FOUNDATION INC,1,1,,
,7637,DICK HIRSCHY CATTLE INC,2,2,,
,7639,CSS POTATO FARMS LLC,2,2,,
,7644,S BAR B RANCH,1,1,,
,7646,BAKER RANCHES INC,1,,,1
,7665,LA CENSE MONTANA LLC,2,2,,
,7766,BRETT W JENSEN DBA BRETT JENSEN FA,1,1,,
,7771,DOUBLE FORK LLC,1,1,,
,7773,PENDERGAST RANCH INC,1,1,,
,7783,PARKINSON SEED FARM INC,2,2,,
,7797,J & D FARMS INC,1,1,,
,7840,MATT NAIL FARMS LLC,1,1,,
,,(blank),1,1,,
,7862,C B RANCH LLC,1,1,,
,7864,EGGEN LAND & CATTLE CO LLC,1,1,,
,7873,MOYLE MINK & TANNERY INC,1,1,,
,7881,JACK HIRSCHY LIVESTOCK INC,2,2,,
,7885,JOCKO VALLEY CATTLE LLC,1,1,,
,7905,BR RICKS FARMS INC,1,1,,
,7911,PRATT CREEK RANCH,1,1,,
,7916,(blank),1,1,,
,7925,SMITH FARMS INC,1,1,,
,7933,JORGENSEN MANAGEMENT INC,1,1,,
,7984,SALMON FALLS LAND & LIVERSTOCK CO,1,1,,
,8020,LOOSLI LAND & CATTLE INC,2,2,,
,8044,SABALA FARMS INC,1,1,,
,8049,BURUSCO FARMS,1,1,,
,8061,DRY CREEK FARMS LLC,1,1,,
,8071,(blank),1,1,,
,8099,5 L RANCH CORP,2,2,,
,8112,KENNETH E JR & JACQUELINE A WHEELE,1,1,,
,8122,NELSON ANGUS RANCH LLC,1,1,,
,8127,MCFARLAND PRODUCE LLC,1,,,1
,8147,K & B FARMS INC,1,1,,
,8148,BRET ROBINS FARMS,1,1,,
,8164,WOERNER FARMS LLC,1,1,,
,8198,"D. YAM FARMS, LLC",1,1,,
,8216,HOLDAWAY RANCH INC,1,1,,
,8220,(blank),1,1,,
,8243,HILLSIDE RANCH,1,1,,
,8270,(blank),1,1,,
,8280,EDWARDS RANCH LLC,1,1,,
,8286,ROSS HANSEN RANCH,1,1,,
,8306,REBISH/ KONEN LIVESTOCK LP,1,1,,
,8335,ANDREW MARTIN FARMS LLC,1,1,,
,8339,(blank),1,1,,
